radius,resonance_frequency,minimum_transmission
1.100000000000000089e+00,1.565656565656565746e-01,1.751950612342796365e-01
1.149999999999999911e+00,1.525252525252525360e-01,1.388196111461872939e-01
1.199999999999999956e+00,1.484848484848484973e-01,1.262404267287130510e-01
1.250000000000000000e+00,1.444444444444444586e-01,1.435854700294003916e-01
1.300000000000000044e+00,1.767676767676767680e-01,1.674504457387596679e-01
