y_position,resonance_frequency,minimum_transmission
1.100000000000000089e+00,1.242424242424242514e-01,4.597170876531018191e-01
1.300000000000000044e+00,1.727272727272727293e-01,3.985565179113436107e-01
1.500000000000000000e+00,1.666666666666666852e-01,4.033639625035708720e-01
1.699999999999999956e+00,1.181818181818181934e-01,6.183588962905287589e-01
1.899999999999999911e+00,1.161616161616161602e-01,7.442487757466865750e-01
