radius,resonance_frequency,minimum_transmission
5.999999999999999778e-01,1.000000000000000056e-01,9.151279615769999376e-01
8.000000000000000444e-01,1.404040404040404200e-01,7.896092104241593246e-01
1.000000000000000000e+00,1.666666666666666852e-01,4.033639625035708720e-01
1.199999999999999956e+00,1.000000000000000056e-01,1.193833283920943678e-01
1.399999999999999911e+00,1.686868686868686906e-01,1.869168530897324099e-01
